team_name,opponent,startdate,match_format,ground,match_result,margin,toss,batting,runs,wickets,overs_played,runs_avg_per_over
New Zealand,West Indies,2017-12-29,T20I,Nelson,won,47 runs,lost,1st,187.0,7.0,20.0,9.35
West Indies,New Zealand,2017-12-29,T20I,Nelson,lost,47 runs,won,2nd,140.0,10.0,19.0,7.36
New Zealand,West Indies,2018-01-03,T20I,Mount Maunganui,won,119 runs,won,1st,243.0,5.0,20.0,12.15
West Indies,New Zealand,2018-01-03,T20I,Mount Maunganui,lost,119 runs,lost,2nd,124.0,10.0,16.3,7.51
Pakistan,New Zealand,2018-01-22,T20I,Wellington,lost,7 wickets,lost,1st,105.0,10.0,19.4,5.33
New Zealand,Pakistan,2018-01-22,T20I,Wellington,won,7 wickets,won,2nd,106.0,3.0,15.5,6.69
Pakistan,New Zealand,2018-01-25,T20I,Auckland,won,48 runs,won,1st,201.0,4.0,20.0,10.05
New Zealand,Pakistan,2018-01-25,T20I,Auckland,lost,48 runs,lost,2nd,153.0,10.0,18.3,8.27
Pakistan,New Zealand,2018-01-28,T20I,Mount Maunganui,won,18 runs,won,1st,181.0,6.0,20.0,9.05
New Zealand,Pakistan,2018-01-28,T20I,Mount Maunganui,lost,18 runs,lost,2nd,163.0,6.0,20.0,8.15
New Zealand,Australia,2018-02-03,T20I,Sydney,lost,7 wickets,lost,1st,117.0,9.0,20.0,5.85
Australia,New Zealand,2018-02-03,T20I,Sydney,won,7 wickets,won,2nd,96.0,3.0,11.3,8.34
Zimbabwe,Afghanistan,2018-02-05,T20I,Sharjah,lost,5 wickets,lost,1st,120.0,9.0,20.0,6.0
Afghanistan,Zimbabwe,2018-02-05,T20I,Sharjah,won,5 wickets,won,2nd,121.0,5.0,14.4,8.25
Afghanistan,Zimbabwe,2018-02-06,T20I,Sharjah,won,17 runs,lost,1st,158.0,9.0,20.0,7.9
Zimbabwe,Afghanistan,2018-02-06,T20I,Sharjah,lost,17 runs,won,2nd,141.0,5.0,20.0,7.05
England,Australia,2018-02-07,T20I,Hobart,lost,5 wickets,lost,1st,155.0,9.0,20.0,7.75
Australia,England,2018-02-07,T20I,Hobart,won,5 wickets,won,2nd,161.0,5.0,18.3,8.7
England,Australia,2018-02-10,T20I,Melbourne,lost,7 wickets,lost,1st,137.0,7.0,20.0,6.85
Australia,England,2018-02-10,T20I,Melbourne,won,7 wickets,won,2nd,138.0,3.0,14.3,9.51
New Zealand,England,2018-02-13,T20I,Wellington,won,12 runs,lost,1st,196.0,5.0,20.0,9.8
England,New Zealand,2018-02-13,T20I,Wellington,lost,12 runs,won,2nd,184.0,9.0,20.0,9.2
Bangladesh,Sri Lanka,2018-02-15,T20I,Mirpur,lost,6 wickets,won,1st,193.0,5.0,20.0,9.65
Sri Lanka,Bangladesh,2018-02-15,T20I,Mirpur,won,6 wickets,lost,2nd,194.0,4.0,16.4,11.64
New Zealand,Australia,2018-02-16,T20I,Auckland,lost,5 wickets,won,1st,243.0,6.0,20.0,12.15
Australia,New Zealand,2018-02-16,T20I,Auckland,won,5 wickets,lost,2nd,245.0,5.0,18.5,13.0
England,New Zealand,2018-02-18,T20I,Hamilton,won,2 runs,lost,1st,194.0,7.0,20.0,9.7
New Zealand,England,2018-02-18,T20I,Hamilton,lost,2 runs,won,2nd,192.0,4.0,20.0,9.6
Sri Lanka,Bangladesh,2018-02-18,T20I,Sylhet,won,75 runs,lost,1st,210.0,4.0,20.0,10.5
Bangladesh,Sri Lanka,2018-02-18,T20I,Sylhet,lost,75 runs,won,2nd,135.0,10.0,18.4,7.23
India,South Africa,2018-02-18,T20I,Johannesburg,won,28 runs,lost,1st,203.0,5.0,20.0,10.15
South Africa,India,2018-02-18,T20I,Johannesburg,lost,28 runs,won,2nd,175.0,9.0,20.0,8.75
New Zealand,Australia,2018-02-21,T20I,Auckland,lost,19 runs,won,1st,150.0,9.0,20.0,7.5
Australia,New Zealand,2018-02-21,T20I,Auckland,won,19 runs,lost,2nd,121.0,3.0,14.4,8.25
India,South Africa,2018-02-21,T20I,Centurion,lost,6 wickets,lost,1st,188.0,4.0,20.0,9.4
South Africa,India,2018-02-21,T20I,Centurion,won,6 wickets,won,2nd,189.0,4.0,18.4,10.12
India,South Africa,2018-02-24,T20I,Cape Town,won,7 runs,lost,1st,172.0,7.0,20.0,8.6
South Africa,India,2018-02-24,T20I,Cape Town,lost,7 runs,won,2nd,165.0,6.0,20.0,8.25
England,India,2021-03-14,T20I,Ahmedabad,lost,7 wickets,lost,1st,164.0,6.0,20.0,8.2
India,Sri Lanka,2018-03-06,T20I,Colombo (RPS),lost,5 wickets,lost,1st,174.0,5.0,20.0,8.7
Sri Lanka,India,2018-03-06,T20I,Colombo (RPS),won,5 wickets,won,2nd,175.0,5.0,18.3,9.45
Bangladesh,India,2018-03-08,T20I,Colombo (RPS),lost,6 wickets,lost,1st,139.0,8.0,20.0,6.95
India,Bangladesh,2018-03-08,T20I,Colombo (RPS),won,6 wickets,won,2nd,140.0,4.0,18.4,7.5
Sri Lanka,Bangladesh,2018-03-10,T20I,Colombo (RPS),lost,5 wickets,lost,1st,214.0,6.0,20.0,10.7
Bangladesh,Sri Lanka,2018-03-10,T20I,Colombo (RPS),won,5 wickets,won,2nd,215.0,5.0,19.4,10.93
Sri Lanka,India,2018-03-12,T20I,Colombo (RPS),lost,6 wickets,lost,1st,152.0,9.0,19.0,8.0
India,Sri Lanka,2018-03-12,T20I,Colombo (RPS),won,6 wickets,won,2nd,153.0,4.0,17.3,8.74
India,Bangladesh,2018-03-14,T20I,Colombo (RPS),won,17 runs,lost,1st,176.0,3.0,20.0,8.8
Bangladesh,India,2018-03-14,T20I,Colombo (RPS),lost,17 runs,won,2nd,159.0,6.0,20.0,7.95
Sri Lanka,Bangladesh,2018-03-16,T20I,Colombo (RPS),lost,2 wickets,lost,1st,159.0,7.0,20.0,7.95
Bangladesh,Sri Lanka,2018-03-16,T20I,Colombo (RPS),won,2 wickets,won,2nd,160.0,8.0,19.5,8.06
Bangladesh,India,2018-03-18,T20I,Colombo (RPS),lost,4 wickets,lost,1st,166.0,8.0,20.0,8.3
India,Bangladesh,2018-03-18,T20I,Colombo (RPS),won,4 wickets,won,2nd,168.0,6.0,20.0,8.4
Pakistan,West Indies,2018-04-01,T20I,Karachi,won,143 runs,lost,1st,203.0,5.0,20.0,10.15
West Indies,Pakistan,2018-04-01,T20I,Karachi,lost,143 runs,won,2nd,60.0,10.0,13.4,4.39
Pakistan,West Indies,2018-04-02,T20I,Karachi,won,82 runs,won,1st,205.0,3.0,20.0,10.25
West Indies,Pakistan,2018-04-02,T20I,Karachi,lost,82 runs,lost,2nd,123.0,10.0,19.2,6.36
West Indies,Pakistan,2018-04-03,T20I,Karachi,lost,8 wickets,won,1st,153.0,6.0,20.0,7.65
Pakistan,West Indies,2018-04-03,T20I,Karachi,won,8 wickets,lost,2nd,154.0,2.0,16.5,9.14
Afghanistan,Bangladesh,2018-06-03,T20I,Dehradun,won,45 runs,lost,1st,167.0,8.0,20.0,8.35
Bangladesh,Afghanistan,2018-06-03,T20I,Dehradun,lost,45 runs,won,2nd,122.0,10.0,19.0,6.42
Bangladesh,Afghanistan,2018-06-05,T20I,Dehradun,lost,6 wickets,won,1st,134.0,8.0,20.0,6.7
Afghanistan,Bangladesh,2018-06-05,T20I,Dehradun,won,6 wickets,lost,2nd,135.0,4.0,18.5,7.16
Afghanistan,Bangladesh,2018-06-07,T20I,Dehradun,won,1 runs,won,1st,145.0,6.0,20.0,7.25
Bangladesh,Afghanistan,2018-06-07,T20I,Dehradun,lost,1 runs,lost,2nd,144.0,6.0,20.0,7.2
Netherlands,Ireland,2018-06-12,T20I,Rotterdam,won,4 runs,lost,1st,144.0,10.0,19.5,7.26
Ireland,Netherlands,2018-06-12,T20I,Rotterdam,lost,4 runs,won,2nd,140.0,8.0,20.0,7.0
Pakistan,Scotland,2018-06-12,T20I,Edinburgh,won,48 runs,won,1st,204.0,4.0,20.0,10.2
Scotland,Pakistan,2018-06-12,T20I,Edinburgh,lost,48 runs,lost,2nd,156.0,6.0,20.0,7.8
Ireland,Netherlands,2018-06-13,T20I,Rotterdam,lost,4 wickets,won,1st,158.0,6.0,20.0,7.9
Netherlands,Ireland,2018-06-13,T20I,Rotterdam,won,4 wickets,lost,2nd,159.0,6.0,19.0,8.36
Pakistan,Scotland,2018-06-13,T20I,Edinburgh,won,84 runs,won,1st,166.0,6.0,20.0,8.3
Scotland,Pakistan,2018-06-13,T20I,Edinburgh,lost,84 runs,lost,2nd,82.0,10.0,14.4,5.59
Ireland,Scotland,2018-06-16,T20I,Deventer,won,46 runs,won,1st,205.0,5.0,20.0,10.25
Scotland,Ireland,2018-06-16,T20I,Deventer,lost,46 runs,lost,2nd,159.0,5.0,20.0,7.95
Scotland,Ireland,2018-06-17,T20I,Deventer,tied,-,won,1st,185.0,4.0,20.0,9.25
Ireland,Scotland,2018-06-17,T20I,Deventer,tied,-,lost,2nd,185.0,6.0,20.0,9.25
Netherlands,Scotland,2018-06-19,T20I,Amstelveen,lost,7 wickets,won,1st,160.0,6.0,20.0,8.0
Scotland,Netherlands,2018-06-19,T20I,Amstelveen,won,7 wickets,lost,2nd,161.0,3.0,17.4,9.11
Scotland,Netherlands,2018-06-20,T20I,Amstelveen,won,115 runs,won,1st,221.0,3.0,20.0,11.05
Netherlands,Scotland,2018-06-20,T20I,Amstelveen,lost,115 runs,lost,2nd,106.0,10.0,14.0,7.57
India,Ireland,2018-06-27,T20I,Dublin (Malahide),won,76 runs,lost,1st,208.0,5.0,20.0,10.4
Ireland,India,2018-06-27,T20I,Dublin (Malahide),lost,76 runs,won,2nd,132.0,9.0,20.0,6.6
England,Australia,2018-06-27,T20I,Birmingham,won,28 runs,lost,1st,221.0,5.0,20.0,11.05
Australia,England,2018-06-27,T20I,Birmingham,lost,28 runs,won,2nd,193.0,10.0,19.4,9.81
India,Ireland,2018-06-29,T20I,Dublin (Malahide),won,143 runs,lost,1st,213.0,4.0,20.0,10.65
Ireland,India,2018-06-29,T20I,Dublin (Malahide),lost,143 runs,won,2nd,70.0,10.0,12.3,5.6
Pakistan,Zimbabwe,2018-07-01,T20I,Harare,won,74 runs,lost,1st,182.0,4.0,20.0,9.1
Zimbabwe,Pakistan,2018-07-01,T20I,Harare,lost,74 runs,won,2nd,108.0,10.0,17.5,6.05
Pakistan,Australia,2018-07-02,T20I,Harare,lost,9 wickets,lost,1st,116.0,10.0,19.5,5.84
Australia,Pakistan,2018-07-02,T20I,Harare,won,9 wickets,won,2nd,117.0,1.0,10.5,10.8
Australia,Zimbabwe,2018-07-03,T20I,Harare,won,100 runs,lost,1st,229.0,2.0,20.0,11.45
Zimbabwe,Australia,2018-07-03,T20I,Harare,lost,100 runs,won,2nd,129.0,9.0,20.0,6.45
England,India,2018-07-03,T20I,Manchester,lost,8 wickets,lost,1st,159.0,8.0,20.0,7.95
India,England,2018-07-03,T20I,Manchester,won,8 wickets,won,2nd,163.0,2.0,18.2,8.89
Zimbabwe,Pakistan,2018-07-04,T20I,Harare,lost,7 wickets,lost,1st,162.0,4.0,20.0,8.1
Pakistan,Zimbabwe,2018-07-04,T20I,Harare,won,7 wickets,won,2nd,163.0,3.0,19.1,8.5
Pakistan,Australia,2018-07-05,T20I,Harare,won,45 runs,lost,1st,194.0,7.0,20.0,9.7
Australia,Pakistan,2018-07-05,T20I,Harare,lost,45 runs,won,2nd,149.0,7.0,20.0,7.45
Zimbabwe,Australia,2018-07-06,T20I,Harare,lost,5 wickets,won,1st,151.0,9.0,20.0,7.55
Australia,Zimbabwe,2018-07-06,T20I,Harare,won,5 wickets,lost,2nd,154.0,5.0,19.5,7.76
India,England,2018-07-06,T20I,Cardiff,lost,5 wickets,lost,1st,148.0,5.0,20.0,7.4
England,India,2018-07-06,T20I,Cardiff,won,5 wickets,won,2nd,149.0,5.0,19.4,7.57
Australia,Pakistan,2018-07-08,T20I,Harare,lost,6 wickets,won,1st,183.0,8.0,20.0,9.15
Pakistan,Australia,2018-07-08,T20I,Harare,won,6 wickets,lost,2nd,187.0,4.0,19.2,9.67
England,India,2018-07-08,T20I,Bristol,lost,7 wickets,lost,1st,198.0,9.0,20.0,9.9
India,England,2018-07-08,T20I,Bristol,won,7 wickets,won,2nd,201.0,3.0,18.4,10.76
Bangladesh,West Indies,2018-07-31,T20I,Basseterre,lost,7 wickets,lost,1st,143.0,9.0,20.0,7.15
West Indies,Bangladesh,2018-07-31,T20I,Basseterre,won,7 wickets,won,2nd,93.0,3.0,9.1,10.14
Bangladesh,West Indies,2018-08-04,T20I,Lauderhill,won,12 runs,lost,1st,171.0,5.0,20.0,8.55
West Indies,Bangladesh,2018-08-04,T20I,Lauderhill,lost,12 runs,won,2nd,159.0,9.0,20.0,7.95
Bangladesh,West Indies,2018-08-05,T20I,Lauderhill,won,19 runs,won,1st,184.0,5.0,20.0,9.2
West Indies,Bangladesh,2018-08-05,T20I,Lauderhill,lost,19 runs,lost,2nd,135.0,7.0,17.1,7.86
South Africa,Sri Lanka,2018-08-14,T20I,Colombo (RPS),lost,3 wickets,won,1st,98.0,10.0,16.4,5.88
Sri Lanka,South Africa,2018-08-14,T20I,Colombo (RPS),won,3 wickets,lost,2nd,99.0,7.0,16.0,6.18
Afghanistan,Ireland,2018-08-20,T20I,Bready,won,16 runs,lost,1st,160.0,7.0,18.0,8.88
Ireland,Afghanistan,2018-08-20,T20I,Bready,lost,16 runs,won,2nd,144.0,9.0,18.0,8.0
Afghanistan,Ireland,2018-08-22,T20I,Bready,won,81 runs,won,1st,160.0,8.0,20.0,8.0
Ireland,Afghanistan,2018-08-22,T20I,Bready,lost,81 runs,lost,2nd,79.0,10.0,15.0,5.26
South Africa,Zimbabwe,2018-10-09,T20I,East London,won,34 runs,won,1st,160.0,6.0,20.0,8.0
Zimbabwe,South Africa,2018-10-09,T20I,East London,lost,34 runs,lost,2nd,126.0,10.0,17.2,7.26
Zimbabwe,South Africa,2018-10-12,T20I,Potchefstroom,lost,6 wickets,won,1st,132.0,7.0,20.0,6.6
South Africa,Zimbabwe,2018-10-12,T20I,Potchefstroom,won,6 wickets,lost,2nd,135.0,4.0,15.4,8.61
U.A.E.,Australia,2018-10-22,T20I,Abu Dhabi,lost,7 wickets,won,1st,117.0,6.0,20.0,5.85
Australia,U.A.E.,2018-10-22,T20I,Abu Dhabi,won,7 wickets,lost,2nd,119.0,3.0,16.1,7.36
Australia,Pakistan,2018-10-24,T20I,Abu Dhabi,lost,66 runs,won,2nd,89.0,10.0,16.5,5.28
Pakistan,Australia,2018-10-26,T20I,Dubai (DICS),won,11 runs,won,1st,147.0,6.0,20.0,7.35
Australia,Pakistan,2018-10-26,T20I,Dubai (DICS),lost,11 runs,lost,2nd,136.0,8.0,20.0,6.8
England,Sri Lanka,2018-10-27,T20I,Colombo (RPS),won,30 runs,lost,1st,187.0,8.0,20.0,9.35
Sri Lanka,England,2018-10-27,T20I,Colombo (RPS),lost,30 runs,won,2nd,157.0,10.0,20.0,7.85
Pakistan,Australia,2018-10-28,T20I,Dubai (DICS),won,33 runs,won,1st,150.0,5.0,20.0,7.5
Australia,Pakistan,2018-10-28,T20I,Dubai (DICS),lost,33 runs,lost,2nd,117.0,10.0,19.1,6.1
Pakistan,New Zealand,2018-10-31,T20I,Abu Dhabi,won,2 runs,won,1st,148.0,6.0,20.0,7.4
New Zealand,Pakistan,2018-10-31,T20I,Abu Dhabi,lost,2 runs,lost,2nd,146.0,6.0,20.0,7.3
New Zealand,Pakistan,2018-11-02,T20I,Dubai (DICS),lost,6 wickets,won,1st,153.0,7.0,20.0,7.65
Pakistan,New Zealand,2018-11-02,T20I,Dubai (DICS),won,6 wickets,lost,2nd,154.0,4.0,19.4,7.83
West Indies,India,2018-11-04,T20I,Eden Gardens,lost,5 wickets,lost,1st,109.0,8.0,20.0,5.45
India,West Indies,2018-11-04,T20I,Eden Gardens,won,5 wickets,won,2nd,110.0,5.0,17.5,6.16
Pakistan,New Zealand,2018-11-04,T20I,Dubai (DICS),won,47 runs,won,1st,166.0,3.0,20.0,8.3
New Zealand,Pakistan,2018-11-04,T20I,Dubai (DICS),lost,47 runs,lost,2nd,119.0,10.0,16.5,7.06
India,West Indies,2018-11-06,T20I,Lucknow,won,71 runs,lost,1st,195.0,2.0,20.0,9.75
West Indies,India,2018-11-06,T20I,Lucknow,lost,71 runs,won,2nd,124.0,9.0,20.0,6.2
West Indies,India,2018-11-11,T20I,Chennai,lost,6 wickets,won,1st,181.0,3.0,20.0,9.05
India,West Indies,2018-11-11,T20I,Chennai,won,6 wickets,lost,2nd,182.0,4.0,20.0,9.1
South Africa,Australia,2018-11-17,T20I,Carrara,won,21 runs,lost,1st,108.0,6.0,10.0,10.8
Australia,South Africa,2018-11-17,T20I,Carrara,lost,21 runs,won,2nd,87.0,7.0,10.0,8.7
Australia,India,2018-11-21,T20I,Brisbane,won,4 runs,lost,1st,158.0,4.0,17.0,9.29
India,Australia,2018-11-21,T20I,Brisbane,lost,4 runs,won,2nd,169.0,7.0,17.0,9.94
Australia,India,2018-11-25,T20I,Sydney,lost,6 wickets,won,1st,164.0,6.0,20.0,8.2
India,Australia,2018-11-25,T20I,Sydney,won,6 wickets,lost,2nd,168.0,4.0,19.4,8.54
Bangladesh,West Indies,2018-12-17,T20I,Sylhet,lost,8 wickets,won,1st,129.0,10.0,19.0,6.78
West Indies,Bangladesh,2018-12-17,T20I,Sylhet,won,8 wickets,lost,2nd,130.0,2.0,10.5,12.0
Bangladesh,West Indies,2018-12-20,T20I,Mirpur,won,36 runs,lost,1st,211.0,4.0,20.0,10.55
West Indies,Bangladesh,2018-12-20,T20I,Mirpur,lost,36 runs,won,2nd,175.0,10.0,19.2,9.05
West Indies,Bangladesh,2018-12-22,T20I,Mirpur,won,50 runs,lost,1st,190.0,10.0,19.2,9.82
Bangladesh,West Indies,2018-12-22,T20I,Mirpur,lost,50 runs,won,2nd,140.0,10.0,17.0,8.23
New Zealand,Sri Lanka,2019-01-11,T20I,Auckland,won,35 runs,lost,1st,179.0,7.0,20.0,8.95
Sri Lanka,New Zealand,2019-01-11,T20I,Auckland,lost,35 runs,won,2nd,144.0,10.0,16.5,8.55
Bahrain,Saudi Arabia,2019-01-20,T20I,Al Amerat,won,41 runs,lost,1st,176.0,4.0,20.0,8.8
Saudi Arabia,Bahrain,2019-01-20,T20I,Al Amerat,lost,41 runs,won,2nd,135.0,9.0,20.0,6.75
Maldives,Kuwait,2019-01-20,T20I,Al Amerat,lost,8 wickets,lost,1st,102.0,10.0,18.4,5.46
Kuwait,Maldives,2019-01-20,T20I,Al Amerat,won,8 wickets,won,2nd,103.0,2.0,10.3,9.8
Maldives,Bahrain,2019-01-21,T20I,Al Amerat,lost,2 wickets,won,1st,141.0,4.0,20.0,7.05
Bahrain,Maldives,2019-01-21,T20I,Al Amerat,won,2 wickets,lost,2nd,142.0,8.0,18.4,7.6
Saudi Arabia,Qatar,2019-01-21,T20I,Al Amerat,lost,4 wickets,lost,1st,126.0,10.0,20.0,6.3
Qatar,Saudi Arabia,2019-01-21,T20I,Al Amerat,won,4 wickets,won,2nd,127.0,6.0,15.3,8.19
Qatar,Kuwait,2019-01-22,T20I,Al Amerat,tied,-,lost,1st,155.0,6.0,20.0,7.75
Kuwait,Qatar,2019-01-22,T20I,Al Amerat,tied,-,won,2nd,155.0,8.0,20.0,7.75
Maldives,Saudi Arabia,2019-01-22,T20I,Al Amerat,lost,6 wickets,won,1st,139.0,7.0,20.0,6.95
Saudi Arabia,Maldives,2019-01-22,T20I,Al Amerat,won,6 wickets,lost,2nd,140.0,4.0,17.0,8.23
Maldives,Qatar,2019-01-23,T20I,Al Amerat,lost,8 wickets,won,1st,134.0,9.0,20.0,6.7
Qatar,Maldives,2019-01-23,T20I,Al Amerat,won,8 wickets,lost,2nd,135.0,2.0,14.5,9.1
Bahrain,Kuwait,2019-01-23,T20I,Al Amerat,lost,7 wickets,lost,1st,188.0,3.0,20.0,9.4
Kuwait,Bahrain,2019-01-23,T20I,Al Amerat,won,7 wickets,won,2nd,189.0,3.0,19.1,9.86
Kuwait,Saudi Arabia,2019-01-24,T20I,Al Amerat,lost,7 wickets,lost,1st,135.0,8.0,20.0,6.75
Saudi Arabia,Kuwait,2019-01-24,T20I,Al Amerat,won,7 wickets,won,2nd,137.0,3.0,9.1,14.94
Qatar,Bahrain,2019-01-24,T20I,Al Amerat,won,48 runs,lost,1st,205.0,5.0,20.0,10.25
Bahrain,Qatar,2019-01-24,T20I,Al Amerat,lost,48 runs,won,2nd,157.0,10.0,18.2,8.56
Qatar,Saudi Arabia,2019-01-24,T20I,Al Amerat,lost,8 wickets,lost,1st,157.0,6.0,20.0,7.85
Saudi Arabia,Qatar,2019-01-24,T20I,Al Amerat,won,8 wickets,won,2nd,163.0,2.0,15.3,10.51
U.A.E.,Nepal,2019-01-31,T20I,ICCA Dubai,won,21 runs,lost,1st,153.0,6.0,20.0,7.65
Nepal,U.A.E.,2019-01-31,T20I,ICCA Dubai,lost,21 runs,won,2nd,132.0,7.0,20.0,6.6
U.A.E.,Nepal,2019-02-01,T20I,ICCA Dubai,lost,4 wickets,won,1st,107.0,10.0,19.2,5.53
Nepal,U.A.E.,2019-02-01,T20I,ICCA Dubai,won,4 wickets,lost,2nd,111.0,6.0,19.3,5.69
South Africa,Pakistan,2019-02-01,T20I,Cape Town,won,6 runs,lost,1st,192.0,6.0,20.0,9.6
Pakistan,South Africa,2019-02-01,T20I,Cape Town,lost,6 runs,won,2nd,186.0,9.0,20.0,9.3
Nepal,U.A.E.,2019-02-03,T20I,ICCA Dubai,won,14 runs,lost,1st,104.0,8.0,10.0,10.4
U.A.E.,Nepal,2019-02-03,T20I,ICCA Dubai,lost,14 runs,won,2nd,90.0,8.0,10.0,9.0
South Africa,Pakistan,2019-02-03,T20I,Johannesburg,won,7 runs,lost,1st,188.0,3.0,20.0,9.4
Pakistan,South Africa,2019-02-03,T20I,Johannesburg,lost,7 runs,won,2nd,181.0,7.0,20.0,9.05
New Zealand,India,2019-02-06,T20I,Wellington,won,80 runs,lost,1st,219.0,6.0,20.0,10.95
India,New Zealand,2019-02-06,T20I,Wellington,lost,80 runs,won,2nd,139.0,10.0,19.2,7.18
Pakistan,South Africa,2019-02-06,T20I,Centurion,won,27 runs,lost,1st,168.0,9.0,20.0,8.4
South Africa,Pakistan,2019-02-06,T20I,Centurion,lost,27 runs,won,2nd,141.0,9.0,20.0,7.05
New Zealand,India,2019-02-08,T20I,Auckland,lost,7 wickets,won,1st,158.0,8.0,20.0,7.9
India,New Zealand,2019-02-08,T20I,Auckland,won,7 wickets,lost,2nd,162.0,3.0,18.5,8.6
New Zealand,India,2019-02-10,T20I,Hamilton,won,4 runs,lost,1st,212.0,4.0,20.0,10.6
India,New Zealand,2019-02-10,T20I,Hamilton,lost,4 runs,won,2nd,208.0,6.0,20.0,10.4
Scotland,Netherlands,2019-02-13,T20I,Al Amerat,lost,7 wickets,lost,1st,153.0,7.0,20.0,7.65
Netherlands,Scotland,2019-02-13,T20I,Al Amerat,won,7 wickets,won,2nd,154.0,3.0,19.5,7.76
Ireland,Oman,2019-02-13,T20I,Al Amerat,won,15 runs,lost,1st,159.0,5.0,20.0,7.95
Oman,Ireland,2019-02-13,T20I,Al Amerat,lost,15 runs,won,2nd,144.0,9.0,20.0,7.2
Oman,Netherlands,2019-02-15,T20I,Al Amerat,lost,8 wickets,lost,1st,166.0,4.0,20.0,8.3
Netherlands,Oman,2019-02-15,T20I,Al Amerat,won,8 wickets,won,2nd,167.0,2.0,18.5,8.86
Ireland,Scotland,2019-02-15,T20I,Al Amerat,lost,6 wickets,lost,1st,180.0,7.0,20.0,9.0
Scotland,Ireland,2019-02-15,T20I,Al Amerat,won,6 wickets,won,2nd,181.0,4.0,18.3,9.78
Netherlands,Ireland,2019-02-17,T20I,Al Amerat,lost,1 wickets,lost,1st,182.0,9.0,20.0,9.1
Ireland,Netherlands,2019-02-17,T20I,Al Amerat,won,1 wickets,won,2nd,183.0,9.0,20.0,9.15
Oman,Scotland,2019-02-17,T20I,Al Amerat,lost,7 wickets,lost,1st,111.0,10.0,19.3,5.69
Scotland,Oman,2019-02-17,T20I,Al Amerat,won,7 wickets,won,2nd,115.0,3.0,15.3,7.41
Ireland,Afghanistan,2019-02-21,T20I,Dehradun,lost,5 wickets,won,1st,132.0,6.0,20.0,6.6
Afghanistan,Ireland,2019-02-21,T20I,Dehradun,won,5 wickets,lost,2nd,136.0,5.0,19.2,7.03
Afghanistan,Ireland,2019-02-23,T20I,Dehradun,won,84 runs,won,1st,278.0,3.0,20.0,13.9
Ireland,Afghanistan,2019-02-23,T20I,Dehradun,lost,84 runs,lost,2nd,194.0,6.0,20.0,9.7
Afghanistan,Ireland,2019-02-24,T20I,Dehradun,won,32 runs,lost,1st,210.0,7.0,20.0,10.5
Ireland,Afghanistan,2019-02-24,T20I,Dehradun,lost,32 runs,won,2nd,178.0,8.0,20.0,8.9
India,Australia,2019-02-24,T20I,Visakhapatnam,lost,3 wickets,lost,1st,126.0,7.0,20.0,6.3
Australia,India,2019-02-24,T20I,Visakhapatnam,won,3 wickets,won,2nd,127.0,7.0,20.0,6.35
India,Australia,2019-02-27,T20I,Bengaluru,lost,7 wickets,lost,1st,190.0,4.0,20.0,9.5
Australia,India,2019-02-27,T20I,Bengaluru,won,7 wickets,won,2nd,194.0,3.0,19.4,9.86
West Indies,England,2019-03-05,T20I,Gros Islet,lost,4 wickets,lost,1st,160.0,8.0,20.0,8.0
England,West Indies,2019-03-05,T20I,Gros Islet,won,4 wickets,won,2nd,161.0,6.0,18.5,8.54
England,West Indies,2019-03-08,T20I,Basseterre,won,137 runs,lost,1st,182.0,6.0,20.0,9.1
West Indies,England,2019-03-08,T20I,Basseterre,lost,137 runs,won,2nd,45.0,10.0,11.5,3.8
West Indies,England,2019-03-10,T20I,Basseterre,lost,8 wickets,won,1st,71.0,10.0,13.0,5.46
England,West Indies,2019-03-10,T20I,Basseterre,won,8 wickets,lost,2nd,72.0,2.0,10.3,6.85
U.A.E.,U.S.A.,2019-03-16,T20I,ICCA Dubai,won,24 runs,won,1st,182.0,7.0,20.0,9.1
U.S.A.,U.A.E.,2019-03-16,T20I,ICCA Dubai,lost,24 runs,lost,2nd,158.0,6.0,20.0,7.9
Sri Lanka,South Africa,2019-03-19,T20I,Cape Town,tied,-,lost,1st,134.0,7.0,20.0,6.7
South Africa,Sri Lanka,2019-03-19,T20I,Cape Town,tied,-,won,2nd,134.0,8.0,20.0,6.7
P.N.G.,Philippines,2019-03-22,T20I,Port Moresby,won,133 runs,lost,1st,216.0,4.0,20.0,10.8
Philippines,P.N.G.,2019-03-22,T20I,Port Moresby,lost,133 runs,won,2nd,83.0,8.0,20.0,4.15
Vanuatu,P.N.G.,2019-03-22,T20I,Port Moresby,lost,8 wickets,won,1st,124.0,6.0,20.0,6.2
P.N.G.,Vanuatu,2019-03-22,T20I,Port Moresby,won,8 wickets,lost,2nd,125.0,2.0,15.2,8.15
South Africa,Sri Lanka,2019-03-22,T20I,Centurion,won,16 runs,lost,1st,180.0,3.0,20.0,9.0
Sri Lanka,South Africa,2019-03-22,T20I,Centurion,lost,16 runs,won,2nd,164.0,9.0,20.0,8.2
Vanuatu,Philippines,2019-03-23,T20I,Port Moresby,won,63 runs,won,1st,156.0,6.0,20.0,7.8
Philippines,Vanuatu,2019-03-23,T20I,Port Moresby,lost,63 runs,lost,2nd,93.0,7.0,20.0,4.65
Philippines,Vanuatu,2019-03-24,T20I,Port Moresby,won,10 runs,lost,1st,46.0,3.0,5.0,9.2
Vanuatu,Philippines,2019-03-24,T20I,Port Moresby,lost,10 runs,won,2nd,36.0,2.0,5.0,7.2
